,bathroomcnt,bedroomcnt,fips,garagecarcnt,yearbuilt,lotsizesquarefeet,taxvaluedollarcnt,transactiondate
160,2.0,3.0,6059.0,2.0,1962.0,6000.0,92344.0,2017-01-03
161,2.5,4.0,6111.0,2.0,1995.0,6000.0,344422.0,2017-01-03
162,2.5,4.0,6059.0,2.0,1964.0,10011.0,736753.0,2017-01-03
163,1.0,3.0,6037.0,,1953.0,5605.0,244680.0,2017-01-03
164,1.5,2.0,6059.0,1.0,1972.0,1326.0,394456.0,2017-01-03
165,2.0,3.0,6059.0,2.0,1954.0,7620.0,289965.0,2017-01-03
166,2.5,3.0,6059.0,2.0,1981.0,4056.0,292122.0,2017-01-03
167,2.5,3.0,6111.0,2.0,1950.0,8206.0,461107.0,2017-01-03
168,3.0,4.0,6059.0,2.0,1989.0,31710.0,1452674.0,2017-01-03
169,2.0,3.0,6059.0,2.0,1963.0,7917.0,395024.0,2017-01-03
170,6.0,6.0,6037.0,,1950.0,12001.0,2010195.0,2017-01-03
171,2.0,4.0,6037.0,,1960.0,7864.0,395808.0,2017-01-03
172,2.0,3.0,6111.0,2.0,1977.0,6016.0,98489.0,2017-01-03
173,1.0,2.0,6037.0,,1948.0,7113.0,271911.0,2017-01-03
174,3.0,6.0,6059.0,2.0,1958.0,9500.0,136310.0,2017-01-03
175,1.0,2.0,6037.0,,1939.0,6649.0,544000.0,2017-01-03
176,1.0,2.0,6037.0,,1902.0,2118.0,227111.0,2017-01-03
177,5.0,2.0,6059.0,,1987.0,5000.0,677957.0,2017-01-03
178,3.0,4.0,6037.0,,1941.0,21733.0,1201278.0,2017-01-03
179,4.0,5.0,6037.0,,1952.0,20012.0,889200.0,2017-01-03
180,2.0,3.0,6037.0,,2001.0,8020.0,208389.0,2017-01-03
181,1.0,2.0,6037.0,,1912.0,6680.0,292207.0,2017-01-03
182,2.0,3.0,6111.0,2.0,1956.0,13300.0,382723.0,2017-01-03
183,1.5,3.0,6111.0,1.0,1953.0,6104.0,487320.0,2017-01-03
184,2.0,4.0,6037.0,,1990.0,7020.0,152505.0,2017-01-03
185,2.0,3.0,6037.0,,1953.0,5288.0,363636.0,2017-01-03
186,2.5,4.0,6059.0,2.0,1995.0,4420.0,748968.0,2017-01-03
187,3.0,3.0,6037.0,,1990.0,7805.0,246800.0,2017-01-03
188,6.0,5.0,6037.0,,2003.0,13468.0,1531397.0,2017-01-03
189,2.0,3.0,6059.0,2.0,1960.0,12432.0,461938.0,2017-01-03
190,2.0,2.0,6037.0,,1950.0,6333.0,403729.0,2017-01-03
191,1.0,2.0,6059.0,2.0,1996.0,5600.0,283252.0,2017-01-03
192,2.0,3.0,6111.0,2.0,1970.0,7425.0,610813.0,2017-01-03
193,2.0,2.0,6059.0,1.0,1949.0,5000.0,148381.0,2017-01-03
194,2.5,3.0,6059.0,2.0,1978.0,1550.0,530000.0,2017-01-03
195,2.0,4.0,6037.0,,1964.0,5286.0,363100.0,2017-01-03
196,2.0,3.0,6037.0,,1957.0,10639.0,887658.0,2017-01-03
197,2.0,3.0,6037.0,,1956.0,7181.0,99300.0,2017-01-03
198,2.0,4.0,6059.0,2.0,1962.0,9400.0,567000.0,2017-01-03
199,2.0,3.0,6037.0,,1985.0,6813.0,365635.0,2017-01-03
200,2.0,3.0,6037.0,,1930.0,3752.0,194716.0,2017-01-03
201,2.0,3.0,6059.0,2.0,1972.0,4410.0,566000.0,2017-01-03
202,3.0,4.0,6059.0,2.0,1967.0,7888.0,330191.0,2017-01-03
203,2.0,3.0,6037.0,,1922.0,5599.0,457701.0,2017-01-03
204,4.5,5.0,6059.0,2.0,2002.0,6439.0,833555.0,2017-01-03
205,3.0,4.0,6111.0,2.0,2006.0,6000.0,539007.0,2017-01-03
206,2.0,3.0,6059.0,2.0,1957.0,7140.0,431481.0,2017-01-03
207,2.0,3.0,6037.0,,1961.0,5689.0,47377.0,2017-01-03
208,1.0,3.0,6037.0,,1953.0,6496.0,386728.0,2017-01-03
209,3.0,3.0,6111.0,2.0,1989.0,45738.0,1065000.0,2017-01-03
210,3.0,1.0,6037.0,,1949.0,85354.0,1664376.0,2017-01-03
211,2.0,4.0,6111.0,2.0,1979.0,9167.0,353811.0,2017-01-03
212,2.0,3.0,6037.0,,1963.0,7498.0,65276.0,2017-01-03
213,2.0,3.0,6037.0,,1927.0,8529.0,758649.0,2017-01-03
214,2.0,3.0,6037.0,,1927.0,8008.0,2715793.0,2017-01-03
215,2.0,3.0,6111.0,5.0,1967.0,44001.0,208369.0,2017-01-03
216,1.0,2.0,6037.0,,1951.0,8994.0,380605.0,2017-01-03
217,3.0,4.0,6037.0,,1972.0,4036.0,253993.0,2017-01-03
218,2.0,2.0,6037.0,,1920.0,6753.0,754468.0,2017-01-03
219,3.0,4.0,6037.0,,1927.0,7521.0,2100270.0,2017-01-03
220,2.0,2.0,6037.0,,1954.0,35694.0,134364.0,2017-01-03
221,1.0,4.0,6037.0,,1956.0,4752.0,389000.0,2017-01-03
222,3.0,4.0,6037.0,,1956.0,35815.0,522875.0,2017-01-03
223,2.0,3.0,6037.0,,1959.0,8763.0,417131.0,2017-01-03
224,2.0,3.0,6037.0,,1954.0,5548.0,288933.0,2017-01-03
225,2.0,3.0,6037.0,,1951.0,5148.0,388006.0,2017-01-03
226,5.0,6.0,6037.0,,1924.0,22655.0,3681324.0,2017-01-03
227,1.0,1.0,6037.0,,1929.0,2164.0,342000.0,2017-01-03
228,2.0,4.0,6037.0,,1951.0,6175.0,285867.0,2017-01-03
229,1.0,2.0,6037.0,,1950.0,5090.0,506000.0,2017-01-03
230,4.0,4.0,6037.0,,1959.0,10253.0,652684.0,2017-01-03
231,2.0,3.0,6111.0,2.0,1959.0,6103.0,47535.0,2017-01-03
232,1.0,2.0,6037.0,,1956.0,5031.0,63529.0,2017-01-03
233,2.5,3.0,6111.0,2.0,1989.0,12953.0,564000.0,2017-01-03
234,2.0,3.0,6037.0,,1951.0,7654.0,169738.0,2017-01-03
235,2.0,3.0,6037.0,,1968.0,5367.0,334953.0,2017-01-03
236,2.0,3.0,6037.0,,1940.0,10287.0,649101.0,2017-01-03
237,2.5,3.0,6111.0,2.0,2012.0,7613.0,410786.0,2017-01-03
238,2.0,2.0,6037.0,,1940.0,10128.0,416283.0,2017-01-03
239,2.0,4.0,6111.0,2.0,1964.0,7300.0,337048.0,2017-01-03
240,2.0,3.0,6111.0,1.0,1964.0,6600.0,403856.0,2017-01-03
241,2.0,3.0,6037.0,,1956.0,11589.0,255887.0,2017-01-03
242,3.0,3.0,6037.0,,1976.0,31351.0,900430.0,2017-01-03
243,4.0,5.0,6037.0,,1929.0,20670.0,507758.0,2017-01-03
244,2.0,3.0,6037.0,,1959.0,10693.0,2181870.0,2017-01-03
245,1.0,2.0,6037.0,,1954.0,4731.0,284270.0,2017-01-03
246,1.0,3.0,6037.0,,1952.0,5599.0,137491.0,2017-01-03
247,1.0,3.0,6037.0,,1952.0,5238.0,41366.0,2017-01-03
248,1.0,2.0,6111.0,2.0,1972.0,5454.0,171648.0,2017-01-03
249,2.0,3.0,6059.0,2.0,1973.0,5000.0,397998.0,2017-01-03
250,2.0,3.0,6037.0,,1953.0,5389.0,78030.0,2017-01-03
251,2.5,4.0,6059.0,2.0,1989.0,4750.0,561445.0,2017-01-03
252,2.0,3.0,6037.0,,1913.0,5603.0,210496.0,2017-01-03
253,3.0,3.0,6037.0,,1988.0,5919.0,409989.0,2017-01-03
254,2.0,4.0,6037.0,,1953.0,6952.0,282832.0,2017-01-03
255,2.0,3.0,6111.0,2.0,1961.0,17847.0,528120.0,2017-01-03
256,2.0,3.0,6037.0,,1953.0,6017.0,213246.0,2017-01-03
257,2.0,3.0,6059.0,2.0,1977.0,2689.0,274539.0,2017-01-03
258,1.0,2.0,6037.0,,1950.0,7163.0,189320.0,2017-01-03
259,2.0,4.0,6111.0,,1952.0,11396.0,64712.0,2017-01-03
260,3.0,4.0,6037.0,,1969.0,22622.0,1066012.0,2017-01-03
261,2.5,3.0,6111.0,2.0,2010.0,2450.0,784633.0,2017-01-03
262,3.0,3.0,6037.0,,1949.0,6299.0,1017322.0,2017-01-03
263,3.0,4.0,6037.0,,1986.0,4800.0,1092550.0,2017-01-03
264,2.0,3.0,6111.0,1.0,1960.0,1750.0,918474.0,2017-01-03
265,2.5,3.0,6111.0,2.0,2013.0,5487.0,579707.0,2017-01-03
266,3.0,4.0,6037.0,,1950.0,6611.0,470060.0,2017-01-03
267,2.0,2.0,6037.0,,1952.0,6299.0,381638.0,2017-01-03
268,3.0,4.0,6037.0,,1942.0,5645.0,461232.0,2017-01-03
269,3.0,2.0,6059.0,2.0,1993.0,2800.0,568508.0,2017-01-03
270,2.0,3.0,6037.0,,1954.0,5303.0,372230.0,2017-01-04
271,2.0,3.0,6111.0,,1962.0,8400.0,479000.0,2017-01-04
272,2.0,3.0,6059.0,2.0,1963.0,6000.0,591000.0,2017-01-04
273,2.0,4.0,6037.0,,1949.0,6505.0,837386.0,2017-01-04
274,3.0,5.0,6037.0,,1965.0,16738.0,534535.0,2017-01-04
275,2.0,2.0,6037.0,,1958.0,3622.0,296969.0,2017-01-04
276,1.0,2.0,6037.0,,1952.0,10843.0,288725.0,2017-01-04
277,2.0,3.0,6037.0,,1947.0,6698.0,297213.0,2017-01-04
278,2.0,2.0,6037.0,,1953.0,6249.0,260055.0,2017-01-04
279,1.0,2.0,6037.0,,1959.0,7069.0,423249.0,2017-01-04
280,2.0,3.0,6037.0,,1955.0,8089.0,669406.0,2017-01-04
281,2.5,4.0,6059.0,2.0,1968.0,2117.0,69834.0,2017-01-04
282,3.0,4.0,6111.0,2.0,2000.0,21981.0,696000.0,2017-01-04
283,2.0,4.0,6037.0,,1953.0,5602.0,79089.0,2017-01-04
284,4.0,4.0,6059.0,2.0,1977.0,6000.0,651462.0,2017-01-04
285,2.0,3.0,6037.0,,1950.0,6120.0,392155.0,2017-01-04
286,2.0,3.0,6037.0,,1926.0,2403.0,427300.0,2017-01-04
287,1.0,1.0,6037.0,,1952.0,5205.0,188067.0,2017-01-04
288,2.0,2.0,6037.0,,1949.0,5601.0,195034.0,2017-01-04
289,2.0,3.0,6037.0,,1987.0,56463.0,168328.0,2017-01-04
290,2.0,4.0,6037.0,,1955.0,5880.0,280235.0,2017-01-04
291,2.0,3.0,6037.0,,1955.0,6145.0,177864.0,2017-01-04
292,2.0,3.0,6037.0,,1962.0,12254.0,823627.0,2017-01-04
293,2.0,2.0,6037.0,,1963.0,30094.0,1647189.0,2017-01-04
294,2.5,3.0,6059.0,2.0,2007.0,3877.0,1024285.0,2017-01-04
295,4.5,6.0,6059.0,2.0,1969.0,6300.0,670951.0,2017-01-04
296,2.0,3.0,6037.0,,1972.0,6235.0,468398.0,2017-01-04
297,2.0,3.0,6059.0,2.0,1971.0,5000.0,236776.0,2017-01-04
298,2.0,3.0,6037.0,,1961.0,6909.0,72681.0,2017-01-04
299,4.0,5.0,6037.0,,1977.0,4990.0,367029.0,2017-01-04
300,4.0,5.0,6037.0,,1939.0,6003.0,1332579.0,2017-01-04
301,2.0,4.0,6037.0,,1940.0,4766.0,124623.0,2017-01-04
302,3.0,4.0,6059.0,2.0,1997.0,16900.0,885472.0,2017-01-04
303,4.0,3.0,6037.0,,1978.0,34715.0,227267.0,2017-01-04
304,2.0,3.0,6111.0,2.0,1961.0,7040.0,195421.0,2017-01-04
305,2.0,3.0,6059.0,2.0,1966.0,5208.0,72293.0,2017-01-04
306,1.0,2.0,6037.0,,1920.0,4852.0,319803.0,2017-01-04
307,2.0,3.0,6037.0,,1953.0,8639.0,357429.0,2017-01-04
308,1.0,3.0,6037.0,,1895.0,5906.0,336441.0,2017-01-04
309,1.0,3.0,6037.0,,1953.0,4993.0,525000.0,2017-01-04
310,1.0,2.0,6037.0,,1939.0,6086.0,330000.0,2017-01-04
311,1.0,2.0,6037.0,,1952.0,13035.0,214783.0,2017-01-04
312,3.0,3.0,6037.0,,1952.0,6081.0,1089314.0,2017-01-04
313,2.0,4.0,6037.0,,1988.0,7025.0,175276.0,2017-01-04
314,3.0,3.0,6037.0,,1954.0,7548.0,430707.0,2017-01-04
315,2.0,4.0,6037.0,,1971.0,7869.0,70365.0,2017-01-04
316,2.0,4.0,6037.0,,1941.0,4999.0,639957.0,2017-01-04
317,2.5,3.0,6059.0,2.0,1983.0,2158.0,485230.0,2017-01-04
318,2.0,3.0,6037.0,,1956.0,10353.0,85712.0,2017-01-04
319,9.0,8.0,6037.0,,1951.0,56073.0,3350689.0,2017-01-04
320,1.0,3.0,6037.0,,1947.0,5171.0,70720.0,2017-01-04
321,2.0,3.0,6059.0,2.0,1963.0,7426.0,474325.0,2017-01-04
322,1.0,3.0,6037.0,,1953.0,4627.0,42966.0,2017-01-04
323,1.0,2.0,6037.0,,1947.0,6500.0,96558.0,2017-01-04
324,1.0,2.0,6037.0,,1941.0,5550.0,142945.0,2017-01-04
325,3.0,4.0,6059.0,3.0,1964.0,20691.0,114768.0,2017-01-04
326,3.0,4.0,6037.0,,1930.0,16699.0,2537058.0,2017-01-04
327,3.0,4.0,6037.0,,1984.0,11252.0,729964.0,2017-01-04
328,2.5,3.0,6059.0,2.0,2000.0,3480.0,790879.0,2017-01-04
329,3.0,4.0,6037.0,,1990.0,6082.0,599000.0,2017-01-04
330,2.0,2.0,6037.0,,1989.0,5636.0,155328.0,2017-01-04
331,1.0,2.0,6037.0,,1949.0,6019.0,206164.0,2017-01-04
332,2.0,3.0,6037.0,,1950.0,5470.0,506000.0,2017-01-04
333,1.0,2.0,6037.0,,1924.0,7281.0,36612.0,2017-01-04
334,3.5,4.0,6111.0,2.0,1987.0,6311.0,526182.0,2017-01-04
335,2.0,3.0,6111.0,2.0,1983.0,4410.0,281851.0,2017-01-04
336,2.0,3.0,6037.0,,1984.0,8992.0,420300.0,2017-01-04
337,3.0,3.0,6037.0,,1964.0,13753.0,147617.0,2017-01-04
338,2.0,4.0,6059.0,2.0,1958.0,7398.0,474661.0,2017-01-04
339,2.0,3.0,6037.0,,1960.0,4987.0,57736.0,2017-01-04
340,1.0,2.0,6037.0,,1948.0,7828.0,229710.0,2017-01-04
341,1.5,3.0,6059.0,1.0,1954.0,8100.0,336581.0,2017-01-04
342,2.0,4.0,6037.0,,1940.0,16224.0,749463.0,2017-01-04
343,2.0,3.0,6037.0,,1954.0,7801.0,215125.0,2017-01-04
344,3.0,5.0,6037.0,,1970.0,7759.0,358494.0,2017-01-04
345,5.0,5.0,6037.0,,1957.0,25532.0,866566.0,2017-01-04
346,2.0,2.0,6037.0,,1951.0,5000.0,870133.0,2017-01-04
347,3.0,3.0,6037.0,,1985.0,9733.0,227816.0,2017-01-04
348,2.0,4.0,6037.0,,1975.0,20814.0,311590.0,2017-01-04
349,2.0,4.0,6059.0,2.0,1963.0,6300.0,69536.0,2017-01-04
350,2.0,4.0,6111.0,2.0,1962.0,9384.0,71860.0,2017-01-04
351,4.5,5.0,6111.0,4.0,2011.0,20832.0,2573126.0,2017-01-04
352,6.0,5.0,6111.0,4.0,2006.0,42901.0,3338605.0,2017-01-04
